洲名,城市,月份,平均氣溫,降雨量,濕度
亞洲,台北,2024-01,17.0,140,55
亞洲,台北,2024-02,18.6,52,83
亞洲,台北,2024-03,22.7,279,45
亞洲,台北,2024-04,21.5,16,41
亞洲,台北,2024-05,17.5,119,72
亞洲,台北,2024-06,21.6,287,52
亞洲,東京,2024-01,23.9,214,54
亞洲,東京,2024-02,21.9,142,40
亞洲,東京,2024-03,24.4,81,84
亞洲,東京,2024-04,21.7,142,49
亞洲,東京,2024-05,20.0,172,46
亞洲,東京,2024-06,19.1,49,62
亞洲,首爾,2024-01,25.8,22,86
亞洲,首爾,2024-02,24.6,63,64
亞洲,首爾,2024-03,21.6,150,80
亞洲,首爾,2024-04,25.9,185,76
亞洲,首爾,2024-05,22.5,35,42
亞洲,首爾,2024-06,26.2,148,45
亞洲,新加坡,2024-01,28.0,194,57
亞洲,新加坡,2024-02,24.7,186,50
亞洲,新加坡,2024-03,24.1,107,82
亞洲,新加坡,2024-04,23.2,36,78
亞洲,新加坡,2024-05,26.2,273,86
亞洲,新加坡,2024-06,23.1,236,64
歐洲,倫敦,2024-01,16.8,285,54
歐洲,倫敦,2024-02,14.9,28,54
歐洲,倫敦,2024-03,16.0,161,65
歐洲,倫敦,2024-04,11.5,108,76
歐洲,倫敦,2024-05,16.4,161,53
歐洲,倫敦,2024-06,14.6,202,81
歐洲,巴黎,2024-01,15.3,126,87
歐洲,巴黎,2024-02,17.7,134,87
歐洲,巴黎,2024-03,17.9,298,65
歐洲,巴黎,2024-04,16.1,70,72
歐洲,巴黎,2024-05,17.1,24,47
歐洲,巴黎,2024-06,14.4,81,90
歐洲,柏林,2024-01,22.4,197,64
歐洲,柏林,2024-02,22.4,239,73
歐洲,柏林,2024-03,19.6,283,40
歐洲,柏林,2024-04,23.1,58,83
歐洲,柏林,2024-05,24.7,136,89
歐洲,柏林,2024-06,22.7,57,58
北美洲,紐約,2024-01,16.3,134,72
北美洲,紐約,2024-02,18.8,259,46
北美洲,紐約,2024-03,19.7,152,80
北美洲,紐約,2024-04,16.8,101,49
北美洲,紐約,2024-05,15.7,82,74
北美洲,紐約,2024-06,20.3,271,40
北美洲,多倫多,2024-01,19.9,57,63
北美洲,多倫多,2024-02,23.0,157,55
北美洲,多倫多,2024-03,16.4,290,45
北美洲,多倫多,2024-04,16.7,248,44
北美洲,多倫多,2024-05,23.8,272,89
北美洲,多倫多,2024-06,17.0,243,75
大洋洲,雪梨,2024-01,11.5,216,53
大洋洲,雪梨,2024-02,14.7,102,85
大洋洲,雪梨,2024-03,9.8,191,68
大洋洲,雪梨,2024-04,14.5,231,47
大洋洲,雪梨,2024-05,9.3,32,61
大洋洲,雪梨,2024-06,7.5,283,54
