SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
桃園(觀音工業區),桃園市,94,細懸浮微粒,普通,2.8,0.34,0.5,,11,,36,22,26,4.6,1.5,325,2020-04-16 11:00,33,58,2,121.128044,25.063039,312
臺南(北門),臺南市,88,細懸浮微粒,普通,4.8,0.35,0.3,50,24,51,27,8.7,9.5,0.8,1.7,332,2020-04-16 11:00,31,58,1,120.124444,23.264722,310
屏東(琉球),屏東縣,77,細懸浮微粒,普通,7.8,,,,49,58,26,14,14,0.1,3.8,321,2020-04-16 11:00,26,55,3,120.377222,22.352222,204
新北(樹林),新北市,76,細懸浮微粒,普通,1.2,0.36,0.5,58,28,42,25,15,18,3.4,0.7,311,2020-04-16 11:00,26,43,1,121.383528,24.949028,203
彰化(大城),彰化縣,100,細懸浮微粒,普通,3.6,0.25,0.3,72,28,60,32,6.4,7.4,1,2.7,350,2020-04-16 11:00,35,69,2,120.273117,23.843139,202
臺南(麻豆),臺南市,78,細懸浮微粒,普通,1.9,0.69,0.6,68,34,55,24,7.5,9.3,1.7,1.1,355,2020-04-16 11:00,26,52,1,120.245831,23.179047,201
富貴角,新北市,84,臭氧八小時,普通,0.7,0.21,0.2,78,65,36,24,2.7,2.8,0.2,5.9,113,2020-04-16 11:00,21,37,1,121.536763,25.298562,84
麥寮,雲林縣,106,細懸浮微粒,對敏感族群不健康,5.7,0.35,0.3,65,29,66,32,13,15,2.4,1.7,306,2020-04-16 11:00,37,70,2,120.251825,23.753506,83
關山,臺東縣,48,,良好,0.8,-,,45,24,19,15,1.1,1.4,0.3,1.6,215,2020-04-16 11:00,15,22,1,121.161933,23.045083,80
馬公,澎湖縣,90,臭氧八小時,普通,1.2,0.26,0.3,76,67,35,18,0.8,2.1,1.4,1.6,307,2020-04-16 11:00,21,38,2,119.566158,23.569031,78
金門,金門縣,160,細懸浮微粒,對所有族群不健康,11,0.49,0.4,62,36,147,90,29,35,5.7,1.8,293,2020-04-16 11:00,72,122,4,118.312256,24.432133,77
馬祖,連江縣,126,細懸浮微粒,對敏感族群不健康,3.8,0.38,0.4,84,57,66,42,9.5,11,1.4,1.3,212,2020-04-16 11:00,45,64,3,119.949875,26.160469,75
埔里,南投縣,66,細懸浮微粒,普通,2,0.19,0.3,,21,32,,6.6,9,2.5,2.4,289,2020-04-16 11:00,22,33,2,120.967903,23.968842,72
復興,高雄市,80,細懸浮微粒,普通,3,0.37,0.6,60,36,50,22,15,19,3.8,1.4,260,2020-04-16 11:00,27,54,3,120.312017,22.608711,71
永和,新北市,70,細懸浮微粒,普通,,,0.9,,31,,24,,,,2.2,71,2020-04-16 11:00,23,36,2,121.516306,25.017,70
竹山,南投縣,73,細懸浮微粒,普通,1.2,0.14,0.2,69,36,59,31,4.6,5.9,1.3,2.2,284,2020-04-16 11:00,25,50,1,120.677306,23.756389,69
中壢,桃園市,85,細懸浮微粒,普通,2.8,0.89,1.4,45,17,45,26,41,58,17,0.7,351,2020-04-16 11:00,30,48,3,121.221667,24.953278,68
三重,新北市,93,細懸浮微粒,普通,2.5,1.17,1.2,-,,52,29,50,105,55,,,2020-04-16 11:00,32,51,3,121.493806,25.072611,67
冬山,宜蘭縣,68,細懸浮微粒,普通,1.8,0.28,0.3,56,25,43,17,8.5,11,2.5,1.1,81,2020-04-16 11:00,22,41,2,121.792928,24.632203,66
宜蘭,宜蘭縣,64,細懸浮微粒,普通,,,0.3,,48,,,,,,,,2020-04-16 11:00,21,37,,121.746394,24.747917,65
陽明,臺北市,74,臭氧八小時,普通,2.4,0.18,0.2,65,62,28,18,0.3,0.9,0.6,,,2020-04-16 11:00,18,24,1,121.529583,25.182722,64
花蓮,花蓮縣,48,,良好,1.9,0.21,0.2,56,37,29,13,2.9,3.7,0.8,2.7,119,2020-04-16 11:00,15,30,1,121.599769,23.971306,63
臺東,臺東縣,47,,良好,1.1,0.31,0.3,51,40,18,14,3.7,4.8,1.1,2.3,97,2020-04-16 11:00,15,24,1,121.15045,22.755358,62
恆春,屏東縣,61,臭氧八小時,普通,1.3,0.15,0.2,60,58,25,18,1.7,2.6,1,5.1,103,2020-04-16 11:00,17,26,2,120.788928,21.958069,61
潮州,屏東縣,74,細懸浮微粒,普通,5.6,0.38,0.3,74,44,61,25,11,13,1.2,3.1,273,2020-04-16 11:00,25,49,2,120.561175,22.523108,60
屏東,屏東縣,74,細懸浮微粒,普通,2.5,0.32,0.3,72,41,64,21,8.6,11,2.5,2.3,247,2020-04-16 11:00,25,60,2,120.488033,22.673081,59
小港,高雄市,74,細懸浮微粒,普通,1.6,0.29,0.4,63,38,50,24,17,22,5.3,2.2,246,2020-04-16 11:00,25,51,2,120.337736,22.565833,58
前鎮,高雄市,73,細懸浮微粒,普通,2.5,0.34,0.5,61,36,50,17,17,21,4,1.9,335,2020-04-16 11:00,24,55,3,120.307564,22.605386,57
前金,高雄市,75,細懸浮微粒,普通,2.3,0.28,0.4,69,44,38,19,3.8,6,2.2,2.3,261,2020-04-16 11:00,25,49,3,120.288086,22.632567,56
左營,高雄市,77,細懸浮微粒,普通,2.8,0.31,0.4,66,41,49,26,15,18,3,3.2,307,2020-04-16 11:00,26,50,3,120.292917,22.674861,54
楠梓,高雄市,75,細懸浮微粒,普通,1.7,0.35,0.4,73,35,60,23,9.2,11,1.9,3.4,299,2020-04-16 11:00,25,52,3,120.328289,22.733667,53
林園,高雄市,87,細懸浮微粒,普通,,,0.3,64,32,53,,,,,2.7,259,2020-04-16 11:00,30,60,4,120.41175,22.4795,52
大寮,高雄市,86,細懸浮微粒,普通,8.3,0.62,0.4,53,28,67,28,24,29,5.7,2.1,286,2020-04-16 11:00,30,61,6,120.425081,22.565747,51
鳳山,高雄市,66,細懸浮微粒,普通,1.6,0.42,0.4,69,45,46,12,12,15,3.1,2,246,2020-04-16 11:00,22,51,2,120.358083,22.627392,50
仁武,高雄市,92,細懸浮微粒,普通,1.3,0.33,0.5,70,32,51,28,14,17,3,3.2,290,2020-04-16 11:00,32,55,4,120.332631,22.689056,49
橋頭,高雄市,80,細懸浮微粒,普通,2.4,0.32,0.3,74,39,59,31,11,11,0.7,3.1,262,2020-04-16 11:00,27,49,2,120.305689,22.757506,48
美濃,高雄市,62,細懸浮微粒,普通,1.3,0.2,0.2,67,39,63,21,3.7,4.1,0.5,1,14,2020-04-16 11:00,20,42,2,120.530542,22.883583,47
臺南,臺南市,88,細懸浮微粒,普通,2.5,0.38,0.5,78,42,60,27,12,15,2.8,2,264,2020-04-16 11:00,31,56,2,120.202617,22.984581,46
安南,臺南市,101,細懸浮微粒,對敏感族群不健康,2.1,0.31,0.5,79,33,66,31,9.1,9.9,0.8,2.5,325,2020-04-16 11:00,36,62,2,120.2175,23.048197,45
善化,臺南市,77,細懸浮微粒,普通,2.9,0.28,0.3,72,28,57,25,8.4,9.2,0.7,1.2,304,2020-04-16 11:00,26,49,3,120.297142,23.115097,44
新營,臺南市,78,細懸浮微粒,普通,2.5,0.33,0.4,67,33,58,25,6.9,8.5,1.7,1.6,343,2020-04-16 11:00,26,50,2,120.31725,23.305633,43
嘉義,嘉義市,66,細懸浮微粒,普通,2.9,0.35,0.4,62,37,48,24,9.5,11,1.2,2.2,344,2020-04-16 11:00,22,46,2,120.440833,23.462778,42
臺西,雲林縣,110,細懸浮微粒,對敏感族群不健康,1.7,0.31,0.3,80,34,50,29,6.8,7.4,0.7,3.1,318,2020-04-16 11:00,39,67,1,120.202842,23.717533,41
朴子,嘉義縣,99,細懸浮微粒,普通,1.9,0.3,0.4,66,28,58,30,5.4,5.6,0.2,1.9,303,2020-04-16 11:00,35,66,2,120.24781,23.467123,40
新港,嘉義縣,88,細懸浮微粒,普通,3,0.3,0.4,68,27,60,30,6.3,7.6,1.3,0.7,307,2020-04-16 11:00,31,57,2,120.345531,23.554839,39
崙背,雲林縣,115,細懸浮微粒,對敏感族群不健康,6.4,0.42,0.3,68,31,,67,12,14,2.1,1.3,159,2020-04-16 11:00,41,65,2,120.348742,23.757547,38
斗六,雲林縣,66,細懸浮微粒,普通,2.9,0.24,0.3,59,34,58,22,10,13,3.2,1.7,316,2020-04-16 11:00,22,50,2,120.544994,23.711853,37
南投,南投縣,63,細懸浮微粒,普通,3.5,0.31,0.3,69,31,59,21,12,13,1.8,1.2,84,2020-04-16 11:00,21,43,1,120.685306,23.913,36
二林,彰化縣,113,細懸浮微粒,對敏感族群不健康,3.8,0.31,0.4,55,19,67,35,5.2,7.4,2.2,1.4,317,2020-04-16 11:00,40,72,3,120.409653,23.925175,35
線西,彰化縣,83,細懸浮微粒,普通,6.2,0.38,0.4,65,32,59,32,12,14,2.5,2.3,2,2020-04-16 11:00,28,52,2,120.469061,24.131672,34
彰化,彰化縣,77,細懸浮微粒,普通,6.6,0.46,0.4,48,29,58,29,16,18,2.2,2.1,311,2020-04-16 11:00,26,49,2,120.541519,24.066,33
西屯,臺中市,83,細懸浮微粒,普通,2.9,0.4,0.5,55,22,64,29,22,28,5.6,2.1,338,2020-04-16 11:00,28,52,2,120.616917,24.162197,32
忠明,臺中市,85,細懸浮微粒,普通,3.3,0.46,0.5,45,18,60,34,23,29,6.4,1.6,173,2020-04-16 11:00,29,50,3,120.641092,24.151958,31
大里,臺中市,77,細懸浮微粒,普通,2,0.47,0.5,56,25,61,30,19,23,3.9,1.8,245,2020-04-16 11:00,26,51,2,120.677689,24.099611,30
沙鹿,臺中市,73,細懸浮微粒,普通,1.4,0.28,0.3,57,35,50,29,15,19,3.8,2.3,304,2020-04-16 11:00,24,46,3,120.568794,24.225628,29
豐原,臺中市,63,細懸浮微粒,普通,2,0.32,0.3,65,36,50,21,13,15,2.6,2.2,250,2020-04-16 11:00,20,43,1,120.741711,24.256586,28
三義,苗栗縣,64,細懸浮微粒,普通,1.8,0.27,0.3,54,40,38,25,7.6,8,0.5,2.4,333,2020-04-16 11:00,21,33,2,120.758833,24.382942,27
苗栗,苗栗縣,62,細懸浮微粒,普通,2.3,0.33,0.3,45,26,45,23,9,9.9,0.9,2.1,336,2020-04-16 11:00,20,38,2,120.8202,24.565269,26
頭份,苗栗縣,79,細懸浮微粒,普通,3.1,0.29,0.3,46,26,47,23,15,19,4,2.3,278,2020-04-16 11:00,27,44,2,120.898572,24.696969,25
新竹,新竹市,65,細懸浮微粒,普通,3.6,0.33,0.4,40,29,54,21,24,32,8.5,2.5,267,2020-04-16 11:00,21,41,2,120.972075,24.805619,24
竹東,新竹縣,59,細懸浮微粒,普通,2.1,0.31,0.3,60,44,39,19,11,15,4,2.2,346,2020-04-16 11:00,19,36,2,121.088903,24.740644,23
湖口,新竹縣,75,細懸浮微粒,普通,2.5,0.3,0.3,77,39,52,34,9,11,1.7,2.6,283,2020-04-16 11:00,25,44,2,121.038653,24.900142,22
龍潭,桃園市,59,細懸浮微粒,普通,2.8,0.37,0.3,56,36,34,15,14,17,3.4,1.8,23,2020-04-16 11:00,19,34,2,121.21635,24.863869,21
平鎮,桃園市,73,細懸浮微粒,普通,2.3,0.54,0.5,61,32,47,24,24,28,4.2,1.4,333,2020-04-16 11:00,25,43,2,121.203986,24.952786,20
觀音,桃園市,78,細懸浮微粒,普通,3.8,0.38,0.5,58,29,46,30,19,23,4.4,2.3,333,2020-04-16 11:00,27,46,3,121.082761,25.035503,19
大園,桃園市,89,細懸浮微粒,普通,3.8,0.41,0.5,57,33,60,30,27,35,8.1,3.5,354,2020-04-16 11:00,31,50,4,121.201811,25.060344,18
桃園,桃園市,77,細懸浮微粒,普通,2.4,0.57,0.6,54,28,39,19,21,21,0.6,1.3,350,2020-04-16 11:00,26,42,6,121.304383,24.995368,17
大同,臺北市,89,細懸浮微粒,普通,2.9,0.71,0.9,-,,43,21,38,62,24,,,2020-04-16 11:00,31,50,3,121.513311,25.0632,16
松山,臺北市,79,細懸浮微粒,普通,1.2,0.24,0.5,67,27,43,22,11,13,3,1.7,57,2020-04-16 11:00,27,47,3,121.578611,25.05,15
古亭,臺北市,68,細懸浮微粒,普通,0.3,0.28,0.5,69,38,33,15,5.5,7.5,2,1.2,154,2020-04-16 11:00,22,35,2,121.529556,25.020608,14
萬華,臺北市,75,細懸浮微粒,普通,0.8,0.33,0.6,63,32,36,20,14,17,3.5,1.8,57,2020-04-16 11:00,25,41,2,121.507972,25.046503,13
中山,臺北市,83,細懸浮微粒,普通,1.2,0.49,0.8,59,23,42,21,18,23,5.1,2.5,116,2020-04-16 11:00,28,44,3,121.526528,25.062361,12
士林,臺北市,64,細懸浮微粒,普通,3.2,0.26,0.4,70,40,39,21,8.7,10,1.7,2.9,153,2020-04-16 11:00,21,35,2,121.515389,25.105417,11
淡水,新北市,76,細懸浮微粒,普通,1.8,0.25,0.5,65,32,185,28,7.4,7.9,0.5,,,2020-04-16 11:00,26,63,2,121.449239,25.1645,10
林口,新北市,75,細懸浮微粒,普通,2.6,0.4,0.4,64,55,45,23,19,24,4.5,1.9,68,2020-04-16 11:00,25,44,2,121.376869,25.077197,9
菜寮,新北市,81,細懸浮微粒,普通,2.3,0.39,0.7,53,22,41,22,10,13,2.6,2,116,2020-04-16 11:00,28,42,3,121.481028,25.06895,8
新莊,新北市,74,細懸浮微粒,普通,1.9,0.34,0.6,72,30,40,18,10,12,2.2,2.8,47,2020-04-16 11:00,25,41,2,121.4325,25.037972,7
板橋,新北市,72,細懸浮微粒,普通,2.1,0.35,0.6,58,30,41,19,14,18,3.5,2.1,103,2020-04-16 11:00,24,39,2,121.458667,25.012972,6
土城,新北市,83,細懸浮微粒,普通,,,0.7,,12,,23,,,,1.3,6,2020-04-16 11:00,28,43,2,121.451861,24.982528,5
新店,新北市,71,細懸浮微粒,普通,1.6,0.26,0.5,71,36,37,22,6.2,8.5,2.3,1.6,105,2020-04-16 11:00,24,38,2,121.537778,24.977222,4
