SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
屏東(枋寮),屏東縣,42,,良好,1.6,0.18,0.2,59.2,45,35,12,4.6,4.9,0.3,0.6,307,2021/02/21 15:00:00,13,35,1,120.59116667,22.37094722,313
新竹(北區),新竹市,95,細懸浮微粒,普通,2.6,0.34,0.4,65.4,44,53,36,10,10.7,0.7,1,154,2021/02/21 15:00:00,33,46,1,120.96231389,24.81953333,312
新北(樹林),新北市,100,細懸浮微粒,普通,2.4,0.49,0.5,85.1,47,-,47,15.7,16.4,0.7,1,7,2021/02/21 15:00:00,35,-,1,121.38352778,24.94902778,311
臺南(北門),臺南市,82,細懸浮微粒,普通,1.4,0.26,0.3,50.5,40,36,20,7.4,8.5,1.1,1.9,274,2021/02/21 15:00:00,28,46,1,120.12444444,23.26472222,310
屏東(琉球),屏東縣,84,臭氧八小時,普通,5.6,0.52,0.3,96,65,45,25,6.8,7.7,0.9,2.5,334,2021/02/21 15:00:00,20,36,2,120.37722,22.35222,204
臺南(麻豆),臺南市,57,細懸浮微粒,普通,1.4,0.22,0.3,60.7,45,26,11,3.2,4.2,1,1.8,351,2021/02/21 15:00:00,18,31,1,120.24583056,23.17904722,203
彰化(大城),彰化縣,138,細懸浮微粒,對敏感族群不健康,1.5,0.16,0.3,66,49,39,18,2.7,4.8,2.1,2.9,293,2021/02/21 15:00:00,50,70,2,120.27311,23.84313,202
彰化(員林),彰化縣,92,細懸浮微粒,普通,2.7,0.33,0.4,97.5,67,52,36,6.3,6.5,0.3,1.1,288,2021/02/21 15:00:00,32,50,2,120.58178611,23.95058333,201
富貴角,新北市,71,細懸浮微粒,普通,3.6,0.32,0.3,72.3,52,38,26,9.5,10.5,1,2.4,278,2021/02/21 15:00:00,24,34,1,121.54738,25.29228,84
麥寮,雲林縣,117,細懸浮微粒,對敏感族群不健康,1,0.19,0.3,51.2,45,21,10,4,4.4,0.3,2.3,249,2021/02/21 15:00:00,42,57,2,120.251825,23.753506,83
關山,臺東縣,34,,良好,1.4,-,-,47.9,37,5,4,0,3.6,3.7,2.7,192,2021/02/21 15:00:00,4,7,1,121.161933,23.045083,80
馬公,澎湖縣,74,臭氧八小時,普通,1.9,0.19,0.2,75.9,62,29,16,1.9,1.6,0,1.9,269,2021/02/21 15:00:00,17,27,2,119.566158,23.569031,78
