SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
桃園(觀音工業區),桃園市,49,,良好,5.1,0.12,0.1,19,15,25,11,6.1,10,4,3.3,237,2020-05-03 12:00,15,27,3,121.128044,25.063039,312
臺南(北門),臺南市,17,,良好,0.1,0.12,0.1,22,18,16,6,,,,4.5,270,2020-05-03 12:00,4,13,1,120.124444,23.264722,310
屏東(琉球),屏東縣,21,,良好,0.2,0.13,0.1,23,21,9,7,2.8,4.9,2.2,2.8,320,2020-05-03 12:00,7,9,1,120.377222,22.352222,204
新北(樹林),新北市,60,細懸浮微粒,普通,1.6,0.23,0.3,42,23,34,11,7.4,7.9,0.6,1.8,49,2020-05-03 12:00,19,35,2,121.383528,24.949028,203
彰化(大城),彰化縣,24,,良好,4.7,0.35,0.3,20,17,32,5,7.6,10,2.5,4.9,240,2020-05-03 12:00,6,26,2,120.273117,23.843139,202
臺南(麻豆),臺南市,17,,良好,,0.44,0.5,31,18,15,5,2.4,3.5,1.1,3.1,275,2020-05-03 12:00,5,18,2,120.245831,23.179047,201
富貴角,新北市,37,,良好,0.1,0.1,0.2,33,23,16,5,0.9,1,0.2,4.6,251,2020-05-03 12:00,11,23,1,121.536763,25.298562,84
麥寮,雲林縣,29,,良好,1.3,0.12,0.2,24,17,13,8,2,2.9,0.9,3.5,243,2020-05-03 12:00,9,20,2,120.251825,23.753506,83
關山,臺東縣,14,,良好,1.1,-,,28,12,7,4,1.8,1.9,0,2.8,203,2020-05-03 12:00,4,9,1,121.161933,23.045083,80
馬公,澎湖縣,26,,良好,1.8,0.13,0.1,31,27,,6,0.8,2,1.2,3.6,238,2020-05-03 12:00,8,,1,119.566158,23.569031,78
金門,金門縣,62,細懸浮微粒,普通,4.2,0.21,0.2,39,24,44,21,8.4,10,1.9,6,192,2020-05-03 12:00,20,33,3,118.312256,24.432133,77
