SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
桃園(觀音工業區),桃園市,88,細懸浮微粒,普通,4.6,0.22,0.3,25,17,46,32,9,10,1.4,1.7,239,2020-04-19 12:00,31,48,3,121.128044,25.063039,312
臺南(北門),臺南市,53,細懸浮微粒,普通,2.3,0.3,0.3,23,17,32,13,5.2,7,1.8,3.6,244,2020-04-19 12:00,16,37,1,120.124444,23.264722,310
屏東(琉球),屏東縣,44,,良好,2,0.12,0.2,25,24,21,7,3.4,4.6,1.2,1.5,176,2020-04-19 12:00,14,22,3,120.377222,22.352222,204
新北(樹林),新北市,95,細懸浮微粒,普通,2.1,0.88,0.7,41,16,69,41,26,29,3.1,0.9,39,2020-04-19 12:00,33,58,2,121.383528,24.949028,203
彰化(大城),彰化縣,61,細懸浮微粒,普通,2.1,0.24,0.3,36,20,68,9,3.5,4.1,0.6,5.2,220,2020-04-19 12:00,20,56,3,120.273117,23.843139,202
臺南(麻豆),臺南市,47,,良好,1.3,0.68,0.7,41,22,33,16,6,7.9,1.9,2.4,194,2020-04-19 12:00,15,31,2,120.245831,23.179047,201
富貴角,新北市,67,細懸浮微粒,普通,0.9,0.28,0.3,36,29,37,24,9,11,2.3,1.2,286,2020-04-19 12:00,22,39,1,121.536763,25.298562,84
麥寮,雲林縣,77,細懸浮微粒,普通,1.7,0.29,0.4,33,19,51,14,5,5.9,0.9,5.2,218,2020-04-19 12:00,26,58,3,120.251825,23.753506,83
關山,臺東縣,32,,良好,1.2,-,,24,13,17,9,0.4,0.9,0.5,5.6,217,2020-04-19 12:00,10,17,1,121.161933,23.045083,80
馬公,澎湖縣,28,,良好,1,0.18,0.2,31,27,20,5,2,2.9,0.9,2.6,218,2020-04-19 12:00,9,23,2,119.566158,23.569031,78
金門,金門縣,98,細懸浮微粒,普通,3.4,0.27,0.3,40,28,26,14,6,7.4,1.4,3.4,208,2020-04-19 12:00,34,68,3,118.312256,24.432133,77
馬祖,連江縣,134,細懸浮微粒,對敏感族群不健康,1,0.28,0.3,57,57,81,58,9.6,11,1,1.2,193,2020-04-19 12:00,48,85,2,119.949875,26.160469,75
