,國文,英文,數學,地理,歷史,總分,平均
1,78,81,77,82,61,379,75.8
2,77,78,65,62,70,352,70.4
3,65,51,65,82,90,353,70.6
4,99,79,58,100,56,392,78.4
5,97,57,75,52,56,337,67.4
6,65,67,75,72,82,361,72.2
7,69,96,51,59,51,326,65.2
8,72,99,75,86,55,387,77.4
9,63,90,66,82,84,385,77.0
10,59,83,63,84,87,376,75.2
11,96,79,61,86,100,422,84.4
12,88,57,50,86,81,362,72.4
13,100,84,60,92,71,407,81.4
14,56,93,62,73,64,348,69.6
15,75,91,96,94,88,444,88.8
16,81,75,96,96,64,412,82.4
17,65,77,96,94,100,432,86.4
18,89,87,77,92,55,400,80.0
19,53,88,94,95,50,380,76.0
20,80,83,94,87,56,400,80.0
21,83,92,94,62,89,420,84.0
22,72,69,71,54,94,360,72.0
23,76,78,83,83,79,399,79.8
24,77,53,87,56,79,352,70.4
25,63,76,97,61,53,350,70.0
26,66,60,57,95,56,334,66.8
27,55,88,85,74,89,391,78.2
28,88,78,84,84,76,410,82.0
29,66,82,57,97,55,357,71.4
30,78,76,100,97,64,415,83.0
31,64,61,83,80,88,376,75.2
32,53,80,84,60,66,343,68.6
33,87,78,51,62,57,335,67.0
34,65,64,52,79,57,317,63.4
35,67,75,81,93,72,388,77.6
36,57,63,79,95,76,370,74.0
37,76,72,60,92,82,382,76.4
38,70,83,61,82,85,381,76.2
39,56,50,81,80,73,340,68.0
40,78,68,81,69,86,382,76.4
41,58,51,81,61,99,350,70.0
42,78,95,80,90,70,413,82.6
43,64,78,91,90,91,414,82.8
44,68,92,51,74,100,385,77.0
45,100,55,63,60,86,364,72.8
46,74,94,66,98,87,419,83.8
47,74,98,99,56,94,421,84.2
48,67,62,88,100,82,399,79.8
49,75,58,90,85,93,401,80.2
50,100,56,63,59,56,334,66.8
