SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,51,細懸浮微粒,普通,1.1,0.42,0.3,13.2,36,36,18,21.1,22.7,1.6,0.2,289,2021/11/10 21:00:00,15,29,1,121.760056,25.129167,1
汐止,新北市,55,二氧化氮,普通,5.7,0.41,0.3,8.5,29,27,18,36.1,40.4,4.3,1.2,52,2021/11/10 21:00:00,14,31,2,121.6423,25.067131,2
萬里,新北市,42,,良好,0.7,0.22,0.2,32.4,45,22,11,4.6,5.5,0.9,4.7,221,2021/11/10 21:00:00,11,30,0,121.689881,25.179667,3
新店,新北市,37,,良好,1.5,0.44,0.3,25,36,25,12,20.6,23.4,2.8,1.8,186,2021/11/10 21:00:00,11,26,1,121.537778,24.977222,4
土城,新北市,39,,良好,1.6,0.4,0.3,34.2,39,27,7,17.7,18.2,0.5,0.9,248,2021/11/10 21:00:00,12,27,1,121.451861,24.982528,5
板橋,新北市,55,二氧化氮,普通,1.9,0.67,0.4,15.8,33,30,14,36.7,40.4,3.6,1.7,143,2021/11/10 21:00:00,14,30,1,121.458667,25.012972,6
新莊,新北市,54,二氧化氮,普通,1.3,0.68,0.4,23.7,40,32,20,35.6,41.2,5.5,1.5,90,2021/11/10 21:00:00,15,29,1,121.4325,25.037972,7
菜寮,新北市,51,二氧化氮,普通,1.4,0.57,0.4,26.8,40,22,16,31.4,32.2,0.8,1.7,87,2021/11/10 21:00:00,14,25,1,121.481028,25.06895,8
林口,新北市,42,,良好,1.4,0.41,0.3,37.3,42,22,9,23.1,24.4,1.2,2.5,120,2021/11/10 21:00:00,12,27,1,121.376869,25.077197,9
淡水,新北市,41,,良好,1.7,0.46,0.3,15,34,24,12,18.6,20.2,1.6,,,2021/11/10 21:00:00,12,26,1,121.449239,25.1645,10
士林,臺北市,45,,良好,1.8,0.28,0.3,47.2,49,20,13,13.3,14.2,0.9,0.7,83,2021/11/10 21:00:00,12,25,1,121.515389,25.105417,11
中山,臺北市,62,二氧化氮,普通,1.7,0.78,0.6,13,28,25,17,46.7,57.3,10.6,1.6,111,2021/11/10 21:00:00,15,28,1,121.526528,25.062361,12
萬華,臺北市,57,二氧化氮,普通,1.6,0.55,0.4,21.1,35,28,16,39.2,41.5,2.3,1.5,110,2021/11/10 21:00:00,13,26,1,121.507972,25.046503,13
古亭,臺北市,44,,良好,2.3,0.28,0.3,42.1,42,29,12,15,15.7,0.6,1.5,132,2021/11/10 21:00:00,13,26,2,121.529556,25.020608,14
松山,臺北市,60,二氧化氮,普通,3,0.6,0.3,2.4,31,35,19,44.1,56.8,12.6,0.5,60,2021/11/10 21:00:00,15,34,1,121.578611,25.05,15
大同,臺北市,62,二氧化氮,普通,1.4,0.89,0.7,12.9,22,30,14,46.2,67.2,20.9,-,-,2021/11/10 21:00:00,16,36,1,121.513311,25.0632,16
桃園,桃園市,56,細懸浮微粒,普通,14.9,0.61,0.5,26.9,36,33,17,29.8,31,1.2,1.7,82,2021/11/10 21:00:00,17,33,5,121.30872222,24.98677778,17
大園,桃園市,50,,良好,2.4,0.37,0.2,29.2,42,27,15,30.3,31.9,1.6,2.4,104,2021/11/10 21:00:00,13,31,2,121.201811,25.060344,18
觀音,桃園市,51,細懸浮微粒,普通,4.5,0.31,0.2,31.3,47,35,20,27.5,28.1,0.5,3.2,86,2021/11/10 21:00:00,15,33,2,121.082761,25.035503,19
平鎮,桃園市,53,細懸浮微粒,普通,2.5,0.6,0.4,30.3,35,33,17,30.9,32.7,1.7,2.5,80,2021/11/10 21:00:00,16,34,2,121.203986,24.952786,20
龍潭,桃園市,44,,良好,3.5,0.39,0.4,34.1,35,31,12,18.7,20.4,1.7,1.3,89,2021/11/10 21:00:00,13,30,3,121.21635,24.863869,21
湖口,新竹縣,55,細懸浮微粒,普通,2.9,0.48,0.2,23.7,43,39,20,26.1,27.2,1,2.5,62,2021/11/10 21:00:00,17,33,1,121.038653,24.900142,22
竹東,新竹縣,41,,良好,1,0.28,0.3,16.1,33,15,10,10.8,11.6,0.7,1.5,139,2021/11/10 21:00:00,12,21,1,121.088903,24.740644,23
新竹,新竹市,53,二氧化氮,普通,2.9,0.44,0.3,25.3,40,36,21,34,34.4,0.3,1.6,51,2021/11/10 21:00:00,15,33,1,120.972075,24.805619,24
頭份,苗栗縣,53,二氧化氮,普通,2.4,0.43,0.3,23.4,37,34,18,34.2,35.4,1.1,1.6,70,2021/11/10 21:00:00,15,34,2,120.898572,24.696969,25
苗栗,苗栗縣,53,細懸浮微粒,普通,4,0.5,0.4,17.7,36,40,21,31.7,34,2.3,1.5,53,2021/11/10 21:00:00,16,33,2,120.8202,24.565269,26
三義,苗栗縣,38,,良好,1.7,0.34,0.2,21.3,41,21,11,14.7,16.5,1.8,2.4,20,2021/11/10 21:00:00,11,20,1,120.758833,24.382942,27
豐原,臺中市,33,,良好,1.7,0.3,0.2,23.3,34,25,11,12.5,13.5,1,0.8,37,2021/11/10 21:00:00,10,23,1,120.741711,24.256586,28
沙鹿,臺中市,47,,良好,1.8,0.43,0.3,21.6,40,44,17,26.7,28.3,1.5,3.1,6,2021/11/10 21:00:00,14,34,1,120.568794,24.225628,29
大里,臺中市,56,二氧化氮,普通,2.4,0.79,0.4,3.4,27,49,27,38.3,49.3,11,1.7,134,2021/11/10 21:00:00,13,32,1,120.67844444,24.09961111,30
忠明,臺中市,50,,良好,1.9,0.46,0.3,21.8,29,26,19,27.2,28.1,0.8,1,358,2021/11/10 21:00:00,15,28,1,120.641092,24.151958,31
西屯,臺中市,52,細懸浮微粒,普通,3.4,0.37,0.2,22.7,39,35,32,23.9,25.2,1.3,1.7,18,2021/11/10 21:00:00,16,33,2,120.616917,24.162197,32
彰化,彰化縣,49,,良好,1.9,0.45,0.3,21.2,33,35,19,28.7,29.5,0.8,2.2,348,2021/11/10 21:00:00,15,37,1,120.541519,24.066,33
線西,彰化縣,47,,良好,2.8,0.33,0.2,26.6,40,37,17,25.9,26.5,0.6,4.8,35,2021/11/10 21:00:00,14,38,3,120.469061,24.131672,34
二林,彰化縣,60,懸浮微粒,普通,3.8,0.42,0.2,29.4,41,40,21,16.5,18,1.4,2.1,26,2021/11/10 21:00:00,16,60,2,120.409653,23.925175,35
南投,南投縣,53,細懸浮微粒,普通,1.9,0.54,0.4,6.6,26,41,19,32.8,35.9,3.1,0.9,39,2021/11/10 21:00:00,16,36,2,120.685306,23.913,36
斗六,雲林縣,77,細懸浮微粒,普通,2.3,0.53,0.3,16.3,38,74,42,28.7,30,1.3,1.4,14,2021/11/10 21:00:00,26,55,2,120.544994,23.711853,37
崙背,雲林縣,72,細懸浮微粒,普通,2.9,0.39,0.3,29.4,39,57,36,16.2,16.9,0.6,1,31,2021/11/10 21:00:00,23,51,3,120.348742,23.757547,38
新港,嘉義縣,66,細懸浮微粒,普通,1.9,0.33,0.2,26,40,55,32,17.8,18.8,1,2.9,354,2021/11/10 21:00:00,21,51,1,120.345531,23.554839,39
朴子,嘉義縣,64,細懸浮微粒,普通,3.6,0.45,0.3,28,42,55,28,22.4,23.5,1.1,1.4,346,2021/11/10 21:00:00,20,57,3,120.24781111,23.46712222,40
臺西,雲林縣,50,,良好,2.4,0.27,0.2,39.3,54,38,17,13.2,14.9,1.7,3.3,28,2021/11/10 21:00:00,13,33,2,120.19933333,23.702175,41
