stationCode,stationName,name,stationAddrTw,stationTel,gps,haveBike
900,基隆,基隆,基隆市仁愛區港西街5號,02-24263743,25.13411 121.73997,Y
910,三坑,三坑,基隆市仁愛區德厚里龍安街 206 號,02-24230289,25.12305 121.74202,Y
920,八堵,八堵,基隆市暖暖區八南里八堵路 142 號,02-24560841,25.10843 121.72898,Y
930,七堵,七堵,基隆市七堵區長興里東新街 2 號,02-24553426,25.09294 121.71415,Y
940,百福,百福,基隆市七堵區堵南里明德三路 1 之 1 號,02-24528372,25.07795 121.69379,N
950,五堵,五堵,新北市汐止區長安里長安路 17 號,02-86476200,25.07784 121.66764,Y
960,汐止,汐止,新北市汐止區信望里信義路 1 號,02-26415096,25.06814 121.66121,Y
970,汐科,汐科,新北市汐止區大同里大同路二段 182 號,02-26499817#8730,25.06261 121.64659,N
980,南港,南港,臺北市南港區南港里南港路一段 313 號 B2,02-27838645,25.05348 121.60706,Y
990,松山,松山,臺北市信義區松山路 11 號B1,02-27673819,25.04921 121.57841,Y
1000,臺北,臺北,臺北市中正區黎明里北平西路 3 號,02-23713558,25.04771 121.51784,N
1001,臺北-環島,臺北-環島,臺北市中正區,,25.04811 121.51793,N
1010,萬華,萬華,臺北市萬華區富福里康定路 382 號,02-23020481,25.03348 121.49984,Y
1020,板橋,板橋,新北市板橋區新民里縣民大道二段 7 號　,02-89691036,25.01404 121.46403,Y
1030,浮洲,浮洲,新北市板橋區僑中里僑中二街 156 號,02-23815226#4665,25.00419 121.44477,N
1040,樹林,樹林,新北市樹林區樹北里鎮前街 112 號,02-26812052,24.99121 121.42481,Y
1050,南樹林,南樹林,新北市樹林區東山里中山路二段 230 號,02-26812052,24.98034 121.40891,N
1060,山佳,山佳,新北市樹林區中山里山佳街 28 號,02-26808874,24.97233 121.39273,N
1070,鶯歌,鶯歌,新北市鶯歌區東鶯里文化路 68-1號,02-26792004,24.95432 121.35535,Y
1080,桃園,桃園,桃園市桃園區武陵里中正路 1 號,03-3767050,24.98941 121.31399,Y
1090,內壢,內壢,桃園市中壢區中原里中華路一段 267 號,03-4559725,24.97281 121.25826,N
1100,中壢,中壢,桃園市中壢區石頭里中和路 139 號,03-4223235,24.95364 121.22559,Y
1110,埔心,埔心,桃園市楊梅區埔心里永美路 208 號,03-4827100,24.91945 121.18366,Y
1120,楊梅,楊梅,桃園市楊梅區楊梅里大成路 256 號,03-4782893,24.91434 121.14645,Y
1130,富岡,富岡,桃園市楊梅區富岡里成功路 37 號,03-4723754,24.93456 121.08304,Y
1140,新富,新富,桃園市楊梅區富豐里富全街 1 號,03-4723754,24.93107 121.06759,N
