trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20190423,900,8442,7743
20190423,910,1394,1348
20190423,920,2770,2423
20190423,930,6113,6335
20190423,940,2680,2726
20190423,950,2077,1785
20190423,960,10057,10561
20190423,970,10178,10466
20190423,980,10957,11160
20190423,990,18098,18010
20190423,1000,55931,53907
20190423,1010,4563,4457
20190423,1020,18495,18515
20190423,1030,3049,2920
20190423,1040,13745,14071
20190423,1050,1093,1094
20190423,1060,1420,1394
20190423,1070,7930,8101
20190423,1080,24539,25402
20190423,1090,8879,8505
20190423,1100,21976,22573
20190423,1110,5675,5257
20190423,1120,4890,4554
20190423,1130,1424,1505
20190423,1140,65,103
20190423,1150,994,1001
20190423,1160,3200,3303
20190423,1170,4460,4516
20190423,1180,4625,4688
20190423,1190,2233,2312
20190423,1191,237,254
20190423,1192,1534,1564
20190423,1193,555,575
20190423,1194,2270,2173
20190423,1201,47,55
20190423,1202,121,120
20190423,1203,407,353
20190423,1204,72,70
20190423,1205,41,42
20190423,1206,88,37
20190423,1207,4,19
20190423,1208,247,295
20190423,1210,15768,15606
20190423,1220,1150,1041
20190423,1230,608,570
20190423,1240,217,290
20190423,1250,7048,7102
20190423,2110,48,56
20190423,2120,125,147
20190423,2130,1064,1055
20190423,2140,27,22
20190423,2150,456,449
20190423,2160,55,51
20190423,2170,763,814
20190423,2180,1454,1319
20190423,2190,207,233
20190423,2200,2305,2310
20190423,2210,90,90
20190423,2220,984,1016
20190423,2230,2016,1848
20190423,2240,383,401
20190423,2250,712,649
20190423,2260,208,191
20190423,3140,320,367
20190423,3150,746,766
20190423,3160,5061,4977
20190423,3170,110,118
20190423,3180,699,685
20190423,3190,819,839
20190423,3210,414,386
20190423,3220,7419,7072
20190423,3230,7861,8181
20190423,3240,550,552
20190423,3250,2373,2284
20190423,3260,455,476
20190423,3270,1052,1032
20190423,3280,3106,3079
20190423,3290,1008,978
20190423,3300,18885,18430
20190423,3310,1312,1357
20190423,3320,2999,2970
20190423,3330,790,803
20190423,3340,5135,4996
20190423,3350,553,581
20190423,3360,11170,11303
20190423,3370,1007,1078
20190423,3380,792,838
20190423,3390,6925,6612
20190423,3400,444,485
20190423,3410,971,1028
20190423,3420,2278,2138
20190423,3430,888,844
20190423,3431,19,21
20190423,3432,70,63
20190423,3433,8,12
20190423,3434,299,127
20190423,3435,136,120
20190423,3436,170,364
20190423,3450,640,696
20190423,3460,130,161
20190423,3470,4583,4564
20190423,3480,1632,1631
20190423,3490,143,161
20190423,4050,1545,1557
20190423,4060,1440,1583
20190423,4070,939,983
20190423,4080,8070,7982
20190423,4090,621,679
20190423,4100,163,174
20190423,4110,530,557
20190423,4120,4715,4635
20190423,4130,1141,1108
20190423,4140,556,582
20190423,4150,1454,1452
20190423,4160,166,169
20190423,4170,3508,3564
20190423,4180,1566,1517
20190423,4190,2435,2435
20190423,4200,2516,2667
20190423,4210,3936,3787
20190423,4220,20666,20900
20190423,4250,1399,1410
20190423,4260,797,791
20190423,4270,466,458
20190423,4271,954,998
20190423,4272,1627,1535
20190423,4290,2488,2081
20190423,4300,1690,1815
20190423,4310,2352,2345
20190423,4320,1279,1472
20190423,4330,2133,2201
20190423,4340,8175,9699
20190423,4350,904,830
20190423,4360,587,585
20190423,4370,750,679
20190423,4380,159,172
20190423,4390,394,396
20190423,4400,13281,12606
20190423,4410,519,516
20190423,4420,781,793
20190423,4430,843,764
20190423,4440,4502,4137
20190423,4450,539,625
20190423,4460,1088,1146
20190423,4470,147,151
20190423,5000,8028,8474
20190423,5010,201,207
20190423,5020,128,151
20190423,5030,539,491
20190423,5040,275,275
20190423,5050,3192,3203
20190423,5060,135,191
20190423,5070,533,424
20190423,5080,15,14
20190423,5090,368,325
20190423,5100,95,95
20190423,5110,66,50
