trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20230101,900,8030,8241
20230101,910,1017,1326
20230101,920,1400,1705
20230101,930,3558,4398
20230101,940,1509,1815
20230101,950,1402,1342
20230101,960,7460,8566
20230101,970,4862,5548
20230101,980,9935,9077
20230101,990,12990,10994
20230101,1000,73133,51866
20230101,1010,3393,3484
20230101,1020,27602,26185
20230101,1030,2095,2086
20230101,1040,12213,14541
20230101,1050,1093,1255
20230101,1060,1485,1751
20230101,1070,7002,8035
20230101,1080,28683,33844
20230101,1090,6724,8919
20230101,1100,27256,31914
20230101,1110,4411,5307
20230101,1120,3631,4583
20230101,1130,1751,2218
20230101,1140,74,103
20230101,1150,479,631
20230101,1160,2950,3267
20230101,1170,6288,8309
20230101,1180,4018,4646
20230101,1190,1331,1530
20230101,1191,233,336
20230101,1192,1441,1800
20230101,1193,622,771
20230101,1194,3538,2558
20230101,1201,51,66
20230101,1202,768,146
20230101,1203,594,609
20230101,1204,83,117
20230101,1205,58,78
20230101,1206,281,512
20230101,1207,30,720
20230101,1208,1688,1366
20230101,1210,21885,24413
20230101,1220,798,920
20230101,1230,488,621
20230101,1240,328,331
20230101,1250,7448,8432
20230101,2110,37,52
20230101,2120,82,96
20230101,2130,773,876
20230101,2140,15,31
20230101,2150,918,878
20230101,2160,64,71
20230101,2170,823,874
20230101,2180,1265,1414
20230101,2190,340,384
20230101,2200,3222,3379
20230101,2210,72,80
20230101,2220,1104,1173
20230101,2230,2977,3171
20230101,2240,408,452
20230101,2250,592,585
20230101,2260,2820,404
20230101,3140,244,318
20230101,3150,942,776
20230101,3160,4171,4848
20230101,3170,65,90
20230101,3180,861,1050
20230101,3190,729,733
20230101,3210,875,929
20230101,3220,2502,2498
20230101,3230,8302,9277
20230101,3240,803,876
20230101,3250,2653,2901
20230101,3260,561,522
20230101,3270,2488,1962
20230101,3280,2145,2162
20230101,3290,1222,1224
20230101,3300,37255,33837
20230101,3310,1434,1327
20230101,3320,2297,2135
20230101,3330,799,909
20230101,3340,9012,7290
20230101,3350,621,3181
20230101,3360,13515,16137
20230101,3370,1074,1270
20230101,3380,809,883
20230101,3390,6465,7486
20230101,3400,405,544
20230101,3410,776,942
20230101,3420,2028,2272
20230101,3430,939,975
20230101,3431,19,30
20230101,3432,104,108
20230101,3433,28,46
20230101,3434,503,399
20230101,3435,101,93
20230101,3436,291,310
20230101,3450,736,780
20230101,3460,160,219
20230101,3470,5646,6225
20230101,3480,1966,2172
20230101,3490,112,124
20230101,4050,1251,1437
20230101,4060,1467,1740
20230101,4070,409,476
20230101,4080,10687,11338
20230101,4090,603,596
20230101,4100,160,198
20230101,4110,387,419
20230101,4120,3748,4366
20230101,4130,275,321
20230101,4140,399,429
20230101,4150,991,1153
20230101,4160,110,151
20230101,4170,2344,2757
20230101,4180,721,809
20230101,4190,1996,2204
20230101,4200,4331,3426
20230101,4210,1862,2044
20230101,4220,27330,27383
20230101,4250,1876,3208
20230101,4260,841,936
20230101,4270,336,441
20230101,4271,314,378
20230101,4272,3642,3637
20230101,4290,893,1154
20230101,4300,1394,1592
20230101,4310,2556,2650
20230101,4320,1444,1405
20230101,4330,2099,1988
20230101,4340,11612,11244
20230101,4350,622,659
20230101,4360,597,590
20230101,4370,1134,1188
20230101,4380,599,559
20230101,4390,521,496
20230101,4400,17433,14254
20230101,4410,633,613
20230101,4420,1005,1032
20230101,4430,904,797
20230101,4440,4349,4715
20230101,4450,576,581
20230101,4460,969,1149
20230101,4470,79,102
20230101,5000,9454,10244
20230101,5010,190,250
20230101,5020,170,226
20230101,5030,654,776
20230101,5040,210,267
20230101,5050,3451,3834
20230101,5060,38,35
20230101,5070,344,422
20230101,5080,18,25
20230101,5090,546,545
20230101,5100,126,156
20230101,5110,45,261
20230101,5120,1232,1163
20230101,5130,218,10
20230101,5140,17,14
20230101,5160,14,19
20230101,5190,145,201
20230101,5200,21,19
20230101,5210,893,849
20230101,5220,339,195
20230101,5230,925,640
20230101,5240,14,11
20230101,6000,7124,3630
20230101,6010,19,11
20230101,6020,242,158
20230101,6030,13,24
20230101,6040,7,11
20230101,6050,588,452
20230101,6060,2,3
20230101,6070,765,598
20230101,6080,155,140
20230101,6090,4,6
20230101,6100,19,9
20230101,6110,1168,1044
20230101,6120,4,3
20230101,6130,588,556
20230101,6140,24,36
20230101,6150,2,3
20230101,6160,387,398
20230101,6170,20,26
20230101,6180,291,258
20230101,6190,3,8
20230101,6200,45,17
20230101,6210,40,35
20230101,6220,257,361
20230101,6230,1,4
20230101,6240,234,455
20230101,6250,559,379
20230101,7000,11965,8688
20230101,7010,73,62
20230101,7020,1,3
20230101,7030,447,378
20230101,7040,22,20
20230101,7050,11,11
20230101,7060,117,153
20230101,7070,6,4
20230101,7080,4,9
20230101,7090,402,384
20230101,7100,84,98
20230101,7110,10,6
20230101,7120,417,466
20230101,7130,375,444
20230101,7150,372,453
20230101,7160,5783,4808
20230101,7170,24,34
20230101,7180,104,87
20230101,7190,4915,4269
20230101,7200,64,67
20230101,7210,3180,3134
20230101,7220,42,67
20230101,7230,977,910
20230101,7240,105,127
20230101,7250,112,81
20230101,7260,166,208
20230101,7270,142,102
20230101,7280,23,23
20230101,7290,605,601
20230101,7300,134,150
20230101,7310,517,516
20230101,7320,126,183
20230101,7330,191,165
20230101,7331,21,33
20230101,7332,1395,1329
20230101,7333,5,10
20230101,7334,27,25
20230101,7335,642,596
20230101,7336,608,569
20230101,7350,1068,1103
20230101,7360,4543,5222
20230101,7361,93,123
20230101,7362,415,429
20230101,7380,485,495
20230101,7390,258,370
20230102,900,6418,6110
20230102,910,1021,1001
20230102,920,1584,1487
20230102,930,4119,4190
