路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向,非主線資料,基隆端,進口,34246,31547,29403
國1南向,非主線資料,基隆,出口,9484,8123,9403
國1南向,非主線資料,基隆,"進口1-尚仁路,基隆",2108,1997,2579
國1南向,非主線資料,基隆,"進口2-麥金路,金山",6051,5398,5895
國1南向,非主線資料,八堵,進口,10785,11990,9027
國1南向,非主線資料,大華系統,進口,26351,26929,21257
國1南向,非主線資料,五堵,出口,6424,6179,7415
國1南向,非主線資料,五堵,進口,9008,7768,10482
國1南向,非主線資料,汐止及汐止系統,出口,20996,20160,18920
國1南向,非主線資料,汐止及汐止系統,進口1-國3北+汐止,25599,25599,25599
國1南向,非主線資料,汐止及汐止系統,進口2-國3南,9198,9899,9954
國1南向,非主線資料,高架汐止端,出口,32505,34285,28529
國1南向,非主線資料,東湖,進口,20553,18047,20259
國1南向,非主線資料,內湖,出口1-南京,20150,18260,18795
國1南向,非主線資料,內湖,出口2-成功,8614,7655,9187
國1南向,非主線資料,內湖,進口,16774,13915,19929
國1南向,非主線資料,圓山,出口,16675,14411,16248
國1南向,非主線資料,圓山,進口,67091,59975,66319
國1南向,非主線資料,台北,出口1-士林,32521,29262,32571
國1南向,非主線資料,台北,出口2-台北市區,6587,6238,6576
國1南向,非主線資料,台北,進口,23876,21345,23967
國1南向,非主線資料,三重,出口,21904,20266,22386
國1南向,非主線資料,三重,進口,15722,14479,13560
國1南向,非主線資料,五股及五股轉接道,出口,39500,39500,39500
國1南向,非主線資料,五股及五股轉接道,進口1-高架,47053,46185,49825
國1南向,非主線資料,五股及五股轉接道,進口2-新五路台64,52189,45951,51101
國1南向,非主線資料,泰山轉接道,出口,41097,36659,33514
國1南向,非主線資料,林口,出口1-文化一路,26223,25025,28585
國1南向,非主線資料,林口,出口2-文化北路,15267,12536,19724
國1南向,非主線資料,林口,進口1-文化一路,15003,12953,17661
國1南向,非主線資料,林口,進口2-文化北路,18074,15005,22048
國1南向,非主線資料,桃園,出口,34305,31006,37091
國1南向,非主線資料,桃園,進口1-桃園,13015,12003,14779
國1南向,非主線資料,桃園,進口2-南崁,20164,17006,19678
國1南向,非主線資料,機場系統,出口,29430,26659,31591
國1南向,非主線資料,機場系統,進口,20782,19215,23121
國1南向,非主線資料,內壢,出口,27488,25331,29693
國1南向,非主線資料,內壢,進口1-中壢,12179,10111,14863
國1南向,非主線資料,內壢,進口2-大園,6905,6340,5856
國1南向,非主線資料,中壢,出口,14650,12836,15958
國1南向,非主線資料,中壢,"進口1-民族路,中環",12106,11222,11070
國1南向,非主線資料,中壢,進口2-新屋,4670,3726,5000
國1南向,非主線資料,平鎮系統,出口,24952,22575,26270
國1南向,非主線資料,平鎮系統,進口,16242,14378,16679
國1南向,非主線資料,幼獅,出口,7574,5974,10601
國1南向,非主線資料,幼獅,進口,4583,3407,5944
國1南向,非主線資料,楊梅,出口,25574,22528,27809
國1南向,非主線資料,楊梅,進口,6412,5625,7093
國1南向,非主線資料,高架楊梅端,進口,41286,36050,32419
國1南向,非主線資料,湖口,出口,10667,9414,12403
國1南向,非主線資料,湖口,進口,14830,13252,19837
國1南向,非主線資料,竹北,出口,17877,17091,18901
國1南向,非主線資料,竹北,進口,20256,16765,24074
國1南向,非主線資料,新竹,出口1-公道五/光復路,22382,22714,23548
國1南向,非主線資料,新竹,出口2-新安路,6404,6179,14067
國1南向,非主線資料,新竹,進口1-光復路,19521,14552,16176
國1南向,非主線資料,新竹,進口2-園區二路,5549,4451,9338
國1南向,非主線資料,新竹系統,出口1-國3南,30845,24315,28432
國1南向,非主線資料,新竹系統,出口2-國3北,3133,3049,3705
國1南向,非主線資料,新竹系統,進口,19059,15678,11517
國1南向,非主線資料,頭份,出口,16771,14332,15686
國1南向,非主線資料,頭份,進口,7731,7362,6066
國1南向,非主線資料,頭屋,出口,7622,6039,5573
國1南向,非主線資料,頭屋,進口,2068,1924,1405
國1南向,非主線資料,苗栗,出口,6510,4631,3711
國1南向,非主線資料,苗栗,進口,6943,6943,5786
國1南向,非主線資料,銅鑼,出口,2856,2361,2195
國1南向,非主線資料,銅鑼,進口,3790,4153,3201
國1南向,非主線資料,三義,出口,6234,5375,4562
國1南向,非主線資料,三義,進口,4892,5373,3733
國1南向,非主線資料,后里,出口,3192,2798,1930
國1南向,非主線資料,后里,進口,11378,10085,11051
國1南向,非主線資料,台中系統,出口,5245,4931,3922
國1南向,非主線資料,台中系統,進口,25718,25586,28289
國1南向,非主線資料,豐原,出口,13897,12650,13260
國1南向,非主線資料,豐原,進口,13959,11974,15650
國1南向,非主線資料,大雅,出口,30452,27923,26500
國1南向,非主線資料,大雅,進口,12857,10138,13913
國1南向,非主線資料,台中,出口,27462,24145,25911
國1南向,非主線資料,台中,進口,20713,18698,17440
國1南向,非主線資料,南屯,出口,17613,15525,16777
國1南向,非主線資料,南屯,進口,14798,12599,13605
國1南向,非主線資料,王田,出口,10283,8501,11330
國1南向,非主線資料,王田,進口,8908,7877,8230
國1南向,非主線資料,彰化系統,出口,4996,3965,4498
國1南向,非主線資料,彰化系統,進口,32611,27561,27361
國1南向,非主線資料,彰化,出口,24225,21641,23310
國1南向,非主線資料,彰化,進口,16053,15060,15670
國1南向,非主線資料,埔鹽系統,出口,15455,13591,14652
國1南向,非主線資料,埔鹽系統,進口1-台76西,4928,4399,4678
國1南向,非主線資料,埔鹽系統,進口2-台76東,6918,6554,5638
國1南向,非主線資料,員林,出口,13533,12553,12437
國1南向,非主線資料,員林,進口,4936,4426,4058
國1南向,非主線資料,北斗,出口,12366,11461,11517
國1南向,非主線資料,北斗,進口,4726,4676,3694
國1南向,非主線資料,西螺,出口,6715,5614,5075
國1南向,非主線資料,西螺,進口,6541,6371,5571
國1南向,非主線資料,虎尾,出口,5428,4978,4232
國1南向,非主線資料,虎尾,進口,3490,3534,2856
國1南向,非主線資料,斗南,出口,7472,6082,5580
國1南向,非主線資料,斗南,"進口1-縣158西,斗六",3091,2553,2838
國1南向,非主線資料,斗南,"進口2-縣158東,虎尾",4056,3555,3938
