SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WIND_SPEED,WIND_DIREC,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,31,,良好,1.3,0.26,0.3,54.1,29.7,27,13,7.6,8.8,1.2,2.6,260,2022/05/30 13:00:00,9,21,2,121.760056,25.129167,1
汐止,新北市,37,,良好,1.2,0.21,0.3,44.8,25.1,23,13,11.2,13.4,2.1,2.6,262,2022/05/30 13:00:00,11,23,1,121.6423,25.067131,2
萬里,新北市,29,,良好,0.7,0.16,0.1,49.3,27,21,17,3.8,4.3,0.5,4.8,241,2022/05/30 13:00:00,8,17,0,121.689881,25.179667,3
新店,新北市,35,,良好,1.4,0.2,0.2,50.8,26.8,25,10,7.5,9.7,2.2,3.2,279,2022/05/30 13:00:00,10,22,0,121.537778,24.977222,4
土城,新北市,30,,良好,,0.21,0.2,44,23.7,23,8,7.8,9.4,1.5,3,244,2022/05/30 13:00:00,9,21,0,121.451861,24.982528,5
板橋,新北市,37,,良好,1.2,0.21,0.2,40.8,22.8,23,14,7.7,9.3,1.6,5,261,2022/05/30 13:00:00,11,21,1,121.458667,25.012972,6
新莊,新北市,33,,良好,1.3,0.17,0.2,36,22.6,21,10,4.7,6.5,1.8,5.4,255,2022/05/30 13:00:00,10,23,1,121.4325,25.037972,7
菜寮,新北市,41,,良好,1,0.23,0.3,38.3,22.8,26,11,8.5,10.9,2.3,4.2,274,2022/05/30 13:00:00,12,21,1,121.481028,25.06895,8
林口,新北市,26,,良好,0.7,0.12,0.1,30.2,21.4,17,7,3.9,6,2.1,5.7,258,2022/05/30 13:00:00,8,13,1,121.376869,25.077197,9
淡水,新北市,31,,良好,0.4,0.09,0.1,23.5,19.2,26,7,6.7,9.3,2.6,2.4,290,2022/05/30 13:00:00,9,24,0,121.449239,25.1645,10
士林,臺北市,34,,良好,0.6,0.15,0.2,36,20.6,18,8,6.8,8.5,1.7,1.1,339,2022/05/30 13:00:00,10,21,0,121.515389,25.105417,11
中山,臺北市,38,,良好,1,0.46,0.6,34,18.2,30,11,16.1,21.5,5.4,2.7,248,2022/05/30 13:00:00,11,28,1,121.526528,25.062361,12
萬華,臺北市,40,,良好,0.8,0.28,0.3,40.9,21.4,25,15,9.3,11.6,2.2,2.8,270,2022/05/30 13:00:00,12,23,1,121.507972,25.046503,13
古亭,臺北市,38,,良好,0.7,0.24,0.2,45.5,25.4,24,18,9.2,10.6,1.4,2.6,277,2022/05/30 13:00:00,11,20,0,121.529556,25.020608,14
松山,臺北市,41,,良好,0.4,0.3,0.3,40.6,19.6,27,15,13,16.5,3.4,3.2,241,2022/05/30 13:00:00,12,26,0,121.578611,25.05,15
大同,臺北市,41,,良好,1,0.71,1,31.3,15.4,26,12,15.3,23.6,8.3,-,-,2022/05/30 13:00:00,12,24,1,121.513311,25.0632,16
桃園,桃園市,29,,良好,0.9,0.17,0.2,25,19.5,13,,5.5,7.1,1.6,3,247,2022/05/30 13:00:00,8,16,1,121.30872222,24.98677778,17
大園,桃園市,23,,良好,0.7,0.08,0.1,25.6,19.5,10,4,1.9,2.9,0.9,6.9,297,2022/05/30 13:00:00,7,15,1,121.201811,25.060344,18
觀音,桃園市,27,,良好,0.7,0.07,0.1,32.4,20.9,13,9,2.1,3.4,1.2,7.8,246,2022/05/30 13:00:00,8,15,0,121.082761,25.035503,19
平鎮,桃園市,17,,良好,0.7,0.12,0.1,22.9,18.2,10,0,3.6,5.4,1.7,3.5,247,2022/05/30 13:00:00,5,13,1,121.203986,24.952786,20
龍潭,桃園市,20,,良好,0.3,0.14,0.1,31.6,21.7,15,4,4.5,6.1,1.6,5.3,258,2022/05/30 13:00:00,6,16,0,121.21635,24.863869,21
湖口,新竹縣,31,,良好,0.4,0.06,0.1,25.6,17.1,15,6,1.1,1.7,0.6,5.8,239,2022/05/30 13:00:00,9,16,1,121.038653,24.900142,22
竹東,新竹縣,24,,良好,0.7,0.14,0.1,34.5,23.6,14,7,3.8,4.7,0.9,4.5,231,2022/05/30 13:00:00,7,16,0,121.088903,24.740644,23
新竹,新竹市,15,,良好,1,0.16,0.1,22.6,16.9,13,1,6.4,9.3,2.9,5.6,244,2022/05/30 13:00:00,4,14,0,120.972075,24.805619,24
頭份,苗栗縣,19,,良好,1.5,0.12,0.1,,20.5,6,,1.7,3,1.2,5.1,259,2022/05/30 13:00:00,5,13,2,120.898572,24.696969,25
苗栗,苗栗縣,21,,良好,2.5,0.19,0.1,28.8,23.4,15,5,5.8,9.1,3.3,4.5,206,2022/05/30 13:00:00,5,14,1,120.8202,24.565269,26
三義,苗栗縣,29,,良好,1.6,0.14,0.1,29.6,22.9,16,9,6.1,7.6,1.5,4.1,184,2022/05/30 13:00:00,8,17,1,120.758833,24.382942,27
豐原,臺中市,28,,良好,1.1,0.18,0.2,21.9,19.8,17,8,5.2,7.2,2,3.3,185,2022/05/30 13:00:00,8,18,1,120.741711,24.256586,28
沙鹿,臺中市,19,,良好,1.2,0.16,0.1,22.7,18.1,10,2,4.5,7.1,2.5,2.9,200,2022/05/30 13:00:00,5,13,1,120.568794,24.225628,29
大里,臺中市,27,,良好,1.3,0.14,0.2,26,19.5,11,3,4.7,6.5,1.8,2,257,2022/05/30 13:00:00,8,22,1,120.67844444,24.09961111,30
忠明,臺中市,20,,良好,0.5,0.17,0.2,23.8,18.5,10,2,9.2,11.4,2.1,1.6,221,2022/05/30 13:00:00,6,16,0,120.641092,24.151958,31
