路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,基隆端-基隆,非匝道資料,非匝道資料,33585,31174,29000
國1南向路段,基隆-八堵,非匝道資料,非匝道資料,32037,30220,27370
國1南向路段,八堵-大華系統,非匝道資料,非匝道資料,41639,41137,34945
國1南向路段,大華系統-五堵,非匝道資料,非匝道資料,67081,65807,55525
國1南向路段,五堵-汐止及系統,非匝道資料,非匝道資料,69379,66428,58068
國1南向路段,汐止及系統-東湖,非匝道資料,非匝道資料,49704,46781,47202
國1南向路段,東湖-內湖,非匝道資料,非匝道資料,68881,63825,66443
國1南向路段,內湖-圓山,非匝道資料,非匝道資料,56822,52158,58652
國1南向路段,圓山-台北,非匝道資料,非匝道資料,107890,98857,109713
國1南向路段,台北-三重,非匝道資料,非匝道資料,92719,83942,93928
國1南向路段,三重-五股,非匝道資料,非匝道資料,86590,78448,85141
國1南向路段,五股-高公局,非匝道資料,非匝道資料,145438,132797,141815
國1南向路段,高公局-林口(文化一路),非匝道資料,非匝道資料,105432,95445,107579
國1南向路段,林口(文化一路)-林口(文化北路),非匝道資料,非匝道資料,61402,55781,57352
國1南向路段,林口(文化北路)-桃園,非匝道資料,非匝道資料,96865,85699,100069
國1南向路段,桃園-機場系統,非匝道資料,非匝道資料,94443,82741,95287
國1南向路段,機場系統-中壢服務區,非匝道資料,非匝道資料,82559,72388,84157
國1南向路段,中壢服務區-內壢,非匝道資料,非匝道資料,83634,73083,83995
國1南向路段,內壢-中壢,非匝道資料,非匝道資料,75219,64419,75287
國1南向路段,中壢-平鎮系統,非匝道資料,非匝道資料,73769,64748,70652
國1南向路段,平鎮系統-幼獅,非匝道資料,非匝道資料,65576,58366,62624
國1南向路段,幼獅-楊梅,非匝道資料,非匝道資料,61389,54724,56691
國1南向路段,楊梅-楊梅端,非匝道資料,非匝道資料,43037,38066,37036
國1南向路段,楊梅端-湖口,非匝道資料,非匝道資料,82280,72844,67762
國1南向路段,湖口-竹北,非匝道資料,非匝道資料,86633,76926,75641
國1南向路段,竹北-新竹(公道五路),非匝道資料,非匝道資料,89622,76602,80695
國1南向路段,新竹(公道五路)-新竹(園區二路),非匝道資料,非匝道資料,61301,48667,43406
國1南向路段,新竹(園區二路)-新竹系統,非匝道資料,非匝道資料,86471,67999,69420
國1南向路段,新竹系統-頭份,非匝道資料,非匝道資料,72078,56912,47803
國1南向路段,頭份-頭屋,非匝道資料,非匝道資料,63184,50137,38247
國1南向路段,頭屋-苗栗,非匝道資料,非匝道資料,57564,45694,33959
國1南向路段,苗栗-銅鑼,非匝道資料,非匝道資料,58380,48090,36053
國1南向路段,銅鑼-三義,非匝道資料,非匝道資料,59272,49808,37084
國1南向路段,三義-后里,非匝道資料,非匝道資料,57950,49683,36239
國1南向路段,后里-台中系統,非匝道資料,非匝道資料,64827,55956,44289
國1南向路段,台中系統-豐原,非匝道資料,非匝道資料,87742,77800,69483
國1南向路段,豐原-大雅,非匝道資料,非匝道資料,88948,78209,72656
國1南向路段,大雅-台中,非匝道資料,非匝道資料,70709,60162,60402
國1南向路段,台中-南屯,非匝道資料,非匝道資料,65038,55696,52445
國1南向路段,南屯-王田,非匝道資料,非匝道資料,62181,52459,49140
國1南向路段,王田-彰化系統,非匝道資料,非匝道資料,61069,52137,46277
國1南向路段,彰化系統-彰化,非匝道資料,非匝道資料,89865,76520,68785
國1南向路段,彰化-埔鹽系統,非匝道資料,非匝道資料,80542,68555,59621
國1南向路段,埔鹽系統-員林,非匝道資料,非匝道資料,77048,65619,55600
國1南向路段,員林-北斗,非匝道資料,非匝道資料,68376,57934,47883
國1南向路段,北斗-西螺,非匝道資料,非匝道資料,60935,52038,40839
國1南向路段,西螺-虎尾,非匝道資料,非匝道資料,60924,53107,41643
國1南向路段,虎尾-斗南,非匝道資料,非匝道資料,59078,51905,40092
國1南向路段,斗南-雲林系統,非匝道資料,非匝道資料,58564,51519,41253
國1南向路段,雲林系統-大林,非匝道資料,非匝道資料,54527,48720,39795
國1南向路段,大林-民雄,非匝道資料,非匝道資料,54205,48431,40467
國1南向路段,民雄-嘉義,非匝道資料,非匝道資料,51471,46378,38767
國1南向路段,嘉義-水上,非匝道資料,非匝道資料,48348,44467,36261
國1南向路段,水上-嘉義系統,非匝道資料,非匝道資料,46833,43497,34916
國1南向路段,嘉義系統-新營服務區,非匝道資料,非匝道資料,46721,45000,34616
國1南向路段,新營服務區-新營,非匝道資料,非匝道資料,46223,44577,34156
國1南向路段,新營-下營系統,非匝道資料,非匝道資料,52426,50668,41306
國1南向路段,下營系統-麻豆,非匝道資料,非匝道資料,56878,55607,45228
國1南向路段,麻豆-安定,非匝道資料,非匝道資料,59788,58239,48925
國1南向路段,安定-台南系統,非匝道資料,非匝道資料,60619,58046,50147
國1南向路段,台南系統-永康,非匝道資料,非匝道資料,74405,71498,66818
國1南向路段,永康-大灣,非匝道資料,非匝道資料,73644,69210,70054
國1南向路段,大灣-台南,非匝道資料,非匝道資料,57960,54844,55339
國1南向路段,台南-仁德系統,非匝道資料,非匝道資料,69213,65623,63720
國1南向路段,仁德系統-路竹,非匝道資料,非匝道資料,70056,66983,63747
國1南向路段,路竹-高科,非匝道資料,非匝道資料,70659,67386,65713
國1南向路段,高科-岡山,非匝道資料,非匝道資料,70412,67118,65265
國1南向路段,岡山-楠梓(旗楠路),非匝道資料,非匝道資料,80444,75657,77055
國1南向路段,楠梓(旗楠路)-楠梓(鳳楠路),非匝道資料,非匝道資料,65138,61293,59989
國1南向路段,楠梓(鳳楠路)-鼎金系統,非匝道資料,非匝道資料,89691,82021,87080
國1南向路段,鼎金系統-高雄,非匝道資料,非匝道資料,116172,108311,112332
國1南向路段,高雄交流道-瑞隆路出口匝道,非匝道資料,非匝道資料,58973,55626,60374
國1南向路段,瑞隆路出口匝道-五甲系統,非匝道資料,非匝道資料,68158,62366,70699
國1南向路段,五甲系統-五甲交流道,非匝道資料,非匝道資料,30253,27623,35074
