SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
桃園(觀音工業區),桃園市,85,細懸浮微粒,普通,0.9,0.22,0.3,59,44,47,22,6.4,6.7,0.3,2.4,301,2020-04-15 14:00,29,50,3,121.128044,25.063039,312
臺南(北門),臺南市,108,細懸浮微粒,對敏感族群不健康,1.7,0.28,0.3,63,48,48,29,4.9,5.1,0.2,2.5,321,2020-04-15 14:00,38,64,1,120.124444,23.264722,310
屏東(琉球),屏東縣,136,臭氧八小時,對敏感族群不健康,2.3,,,91,81,41,19,6.1,7.3,1.2,4.7,318,2020-04-15 14:00,24,46,3,120.377222,22.352222,204
新北(樹林),新北市,73,細懸浮微粒,普通,2.1,0.28,0.4,80,55,53,22,9.4,10,0.6,1.6,33,2020-04-15 14:00,24,51,2,121.383528,24.949028,203
彰化(大城),彰化縣,96,細懸浮微粒,普通,2.5,0.26,0.3,80,60,61,31,4.1,6.8,2.7,3.5,299,2020-04-15 14:00,34,64,2,120.273117,23.843139,202
臺南(麻豆),臺南市,78,細懸浮微粒,普通,,0.37,0.6,,,58,22,5.5,6.2,0.7,3.2,325,2020-04-15 14:00,26,58,3,120.245831,23.179047,201
富貴角,新北市,118,臭氧八小時,對敏感族群不健康,0.5,0.23,0.2,95,76,44,26,2.4,2.5,0.1,4.6,259,2020-04-15 14:00,24,40,1,121.536763,25.298562,84
麥寮,雲林縣,113,細懸浮微粒,對敏感族群不健康,3.8,0.27,0.4,,51,,26,13,14,1.2,2.6,305,2020-04-15 14:00,40,71,3,120.251825,23.753506,83
關山,臺東縣,60,細懸浮微粒,普通,1.1,-,,54,42,32,17,3.6,3.8,0.3,1.9,217,2020-04-15 14:00,19,31,1,121.161933,23.045083,80
馬公,澎湖縣,143,臭氧八小時,對敏感族群不健康,1.7,0.26,0.3,83,83,,18,2,3.1,1.2,1.5,310,2020-04-15 14:00,23,49,2,119.566158,23.569031,78
金門,金門縣,123,細懸浮微粒,對敏感族群不健康,3.4,0.3,0.4,90,52,67,,,,,3.7,171,2020-04-15 14:00,44,73,3,118.312256,24.432133,77
馬祖,連江縣,137,細懸浮微粒,對敏感族群不健康,2.9,0.41,0.4,106,73,79,56,9.6,10,0.6,2.1,204,2020-04-15 14:00,49,71,2,119.949875,26.160469,75
埔里,南投縣,57,細懸浮微粒,普通,1.5,0.22,0.3,78,51,33,21,6.8,8.4,1.6,4.5,287,2020-04-15 14:00,18,28,2,120.967903,23.968842,72
復興,高雄市,77,臭氧八小時,普通,2.8,0.35,0.6,74,63,45,19,10,12,2.2,2.1,269,2020-04-15 14:00,26,51,3,120.312017,22.608711,71
永和,新北市,79,細懸浮微粒,普通,2,0.54,1.2,72,43,45,24,18,23,4.6,3,284,2020-04-15 14:00,27,45,1,121.516306,25.017,70
竹山,南投縣,45,,良好,,,,,,,,,,,,,2020-04-15 14:00,,,,120.677306,23.756389,69
中壢,桃園市,81,細懸浮微粒,普通,2.4,0.76,1.2,65,45,45,26,23,35,12,2,113,2020-04-15 14:00,28,51,3,121.221667,24.953278,68
三重,新北市,99,細懸浮微粒,普通,2,0.96,1.2,-,,52,27,46,84,38,,,2020-04-15 14:00,35,59,2,121.493806,25.072611,67
冬山,宜蘭縣,67,細懸浮微粒,普通,1.8,0.27,0.4,56,47,43,23,12,14,2.3,2.9,100,2020-04-15 14:00,22,45,1,121.792928,24.632203,66
宜蘭,宜蘭縣,84,臭氧八小時,普通,1.7,0.28,0.4,78,65,36,18,5.4,5.9,0.5,2.6,104,2020-04-15 14:00,22,42,2,121.746394,24.747917,65
陽明,臺北市,90,臭氧八小時,普通,1.4,0.21,0.2,82,67,38,23,0.8,1.3,0.5,,,2020-04-15 14:00,21,31,2,121.529583,25.182722,64
花蓮,花蓮縣,58,細懸浮微粒,普通,1.3,0.33,0.3,57,54,35,24,12,13,0.8,1.5,11,2020-04-15 14:00,18,31,1,121.599769,23.971306,63
