SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WIND_SPEED,WIND_DIREC,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,36,,良好,0.8,0.28,0.3,58,39,20,13,4.9,5.9,1,2,96,2022/04/20 13:00:00,11,21,0,121.760056,25.129167,1
汐止,新北市,41,,良好,1.7,0.21,0.2,58.1,33,24,16,8.7,10.2,1.4,2,21,2022/04/20 13:00:00,12,19,2,121.6423,25.067131,2
萬里,新北市,44,,良好,0.4,0.21,0.2,71.1,48,38,15,4.9,5.8,0.8,3.5,4,2022/04/20 13:00:00,12,22,0,121.689881,25.179667,3
新店,新北市,48,,良好,2.2,0.32,0.3,48.5,37,30,23,17,20.8,3.8,1.4,85,2022/04/20 13:00:00,14,22,1,121.537778,24.977222,4
土城,新北市,50,,良好,,,0.4,,,32,14,,,,2.2,356,2022/04/20 13:00:00,15,20,1,121.451861,24.982528,5
板橋,新北市,40,,良好,2,0.33,0.4,55.1,38,27,16,13.9,17,3.1,2.3,77,2022/04/20 13:00:00,12,20,1,121.458667,25.012972,6
新莊,新北市,42,,良好,1.1,0.27,0.3,56.3,45,24,12,10.4,12.9,2.4,3.7,75,2022/04/20 13:00:00,11,23,0,121.4325,25.037972,7
菜寮,新北市,37,,良好,1.3,0.31,0.3,30.1,24,25,13,10.4,13.1,2.6,3.6,98,2022/04/20 13:00:00,11,19,1,121.481028,25.06895,8
林口,新北市,44,,良好,1.5,0.24,0.2,53.7,48,20,10,12.3,16.1,3.8,3.8,122,2022/04/20 13:00:00,9,18,1,121.376869,25.077197,9
淡水,新北市,39,,良好,0.8,0.21,0.2,48.6,42,11,8,4.8,5.2,0.4,,,2022/04/20 13:00:00,8,12,,121.449239,25.1645,10
士林,臺北市,47,,良好,1.1,0.25,0.2,55.6,51,19,6,10.1,12.7,2.6,1.5,130,2022/04/20 13:00:00,8,17,1,121.515389,25.105417,11
中山,臺北市,33,,良好,1.2,0.41,0.4,46.3,35,23,11,17.1,21.7,4.5,2.9,118,2022/04/20 13:00:00,10,18,0,121.526528,25.062361,12
